MERGE Category,Data Source,Original Variable Name,Modified Variable Name/Label,Unit,MERGE Pre-Calculation,Description,Selected Value (Areal Calculation),Temperal Coverage,Temperal Resolution,Geo Coverage,Original DB Table Name,Original Data Source
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,disaster_type,Disaster Type,-,,The disaster type. See Disaster Classification System.,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,disaster_subtype,Disaster Sub Type,-,,The disaster subtype. See Disaster Classification System.,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,start_date,Date,-,,Occurrence of the disaster.,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT,end_date,Event End Date,-,,Conclusion of the disaster.,-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,total_deaths,Total Deaths,Number of people,,"Total fatalities (deceased and missing combined, see Human Impact Variables).",-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,number_injured,Number Injured,Number of people,,"Number of people with physical injuries, trauma, or illness requiring immediate medical assistance due to the disaster (see Human Impact Variables).",-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,number_affected,Number Affected,Number of people,,Number of people requiring immediate assistance due to the disaster (see Human Impact Variables).,-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,number_homeless,Number Homeless,Number of people,,Number of people requiring shelter due to their house being destroyed or heavily damaged during the disaster (see Human Impact Variables).,-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,total_affected,Total Affected,Number of people,,"Total number of affected people (No Injured, No Affected, and No Homeless combined, see Human Impact Variables).",-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,reconstruction_costs_adjusted,"Reconstruction Costs, Adjusted (USD)",US$,x1000,"Reconstruction Costs (‘000 US$), adjusted for inflation using the Consumer Price Index (CPI column, see Economic Adjustment).",-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,total_damage_adjusted,"Total Damage, Adjusted (USD)",US$,x1000,"Total Damage (‘000 US$) adjusted for inflation using the Consumer Price Index (CPI column, see Economic Adjustment).",-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,aid_contribution,AID Contribution (USD),US$,x1000,"The total amount (in thousands of US$ at the time of the report) of contributions for immediate relief activities to the country in response to the disaster, sourced from the Financial Tracking System of OCHA (1992 to 2015). Not maintained after 2015 due to a lack of availability of information. Some aid contribution information can be found at https://fts.unocha.org/.",-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,IDMC-GIDD - Event - Disaster Displacement data,disaster_internal_displacements,Event - Disaster Internal Displacements,Number of people,,"Total number of internal displacements reported (rounded figures at national level), as a result of disasters over the reporting year.",-,2000 to 2024,Daily,Admin Level 0-2,events,IDMC
Events,EM-DAT,usgs,United States Geological Survey (USGS) Earthquake ID,-,,United States Geological Survey (USGS) Earthquake ID of the event,-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,glide,GLIDE number,-,,GLIDE number of the event,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT,dfo,Darthmouth Flood Observatory (DFO) Event ID,-,,Darthmouth Flood Observatory (DFO) Event ID of the event,-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,IDMC-GIDD - Event - Disaster Displacement data,local_identifier,Local Identifier,-,,Local Identifier of the event,-,2000 to 2024,Daily,Admin Level 0-2,events,IDMC
Events,IDMC-GIDD - Event - Disaster Displacement data,government_assigned_identifier,Government Assigned Identifier,-,,Government Assigned Identifier of the event,-,2000 to 2024,Daily,Admin Level 0-2,events,IDMC
Events,IDMC-GIDD - Event - Disaster Displacement data,ifrc_appeal_id,IFRC Appeal ID,-,,IFRC Appeal ID of the event,-,2000 to 2024,Daily,Admin Level 0-2,events,IDMC
Disaster Types,EM-DAT,events' <disaster types>,disaster types from EM-DAT,-,-,The disaster type. See Disaster Classification System.,Count of events for that type,2000 to 2024,Daily,Admin Level 0-2,time_series_merged_variables_by_country,EMDAT
Disaster Types,IDMC-GIDD - Event - Disaster Displacement data,events' <disaster types>,disaster types from IDMC mapped to EM-DAT,-,-,The disaster type. Manually mapped to EM-DAT's Disaster Classification System,Count of events for that type,2000 to 2024,Daily,Admin Level 0-2,time_series_merged_variables_by_country,IDMC
Displacements,IDMC-GIDD - Displacement_data,Conflict Internal Displacements,Conflict Internal Displacements,Number of people,-,"Total number of internal displacements reported (rounded figures at national level), as a result of Conflict and Violence over the reporting year.",Original Raw Value (Areal value aggregated by IDMC),2008 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_1_Displacement_data
Displacements,IDMC-GIDD - Displacement_data,Conflict Total Displacement,Conflict Total Displacement,Number of people,-,"Total number of IDPs (rounded figures at national level), as a result, of Conflict and Violence as of the end of the reporting year.",Original Raw Value (Areal value aggregated by IDMC),2009 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_1_Displacement_data
Displacements,IDMC-GIDD - Displacement_data,Disaster Internal Displacements,Disaster Internal Displacements,Number of people,-,"Total number of internal displacements reported (rounded figures at national level), as a result of disasters over the reporting year.",Original Raw Value (Areal value aggregated by IDMC),2010 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_1_Displacement_data
Displacements,IDMC-GIDD - Displacement_data,Disaster Total Displacement,Disaster Total Displacement,Number of people,-,"Total number of IDPs (rounded figures at national level), as a result, of disasters as of the end of the reporting year.",Original Raw Value (Areal value aggregated by IDMC),2011 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_1_Displacement_data
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Both sexes_0-4,Conflict Displacements Both Sexes Age 0-4,Number of people,-,"Displacement due to Conflict. Male + Female, Age Group 0-4",Original Raw Value (Areal value aggregated by IDMC),2012 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Both sexes_5-11,Conflict Displacements Both Sexes Age 5-11,Number of people,-,"Displacement due to Conflict. Male + Female, Age Group 5-11",Original Raw Value (Areal value aggregated by IDMC),2013 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Both sexes_12-17,Conflict Displacements Both Sexes Age 12-17,Number of people,-,"Displacement due to Conflict. Male + Female, Age Group 12-17",Original Raw Value (Areal value aggregated by IDMC),2014 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Both sexes_18-59,Conflict Displacements Both Sexes Age 18-59,Number of people,-,"Displacement due to Conflict. Male + Female, Age Group 18-59",Original Raw Value (Areal value aggregated by IDMC),2015 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Both sexes_60+,Conflict Displacements Both Sexes Age 60+,Number of people,-,"Displacement due to Conflict. Male + Female, Age Group 60+",Original Raw Value (Areal value aggregated by IDMC),2016 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Female_0-4,Conflict Displacements Female Age 0-4,Number of people,-,"Displacement due to Conflict. Female, Age Group 0-4",Original Raw Value (Areal value aggregated by IDMC),2017 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Female_5-11,Conflict Displacements Female Age 5-11,Number of people,-,Displacement due to Conflict. Female Age Group 5-11,Original Raw Value (Areal value aggregated by IDMC),2018 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Female_12-17,Conflict Displacements Female Age 12-17,Number of people,-,"Displacement due to Conflict. Female, Age Group 12-17",Original Raw Value (Areal value aggregated by IDMC),2019 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Female_18-59,Conflict Displacements Female Age 18-59,Number of people,-,Displacement due to Conflict. Female Age Group 18-59,Original Raw Value (Areal value aggregated by IDMC),2020 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Female_60+,Conflict Displacements Female Age 60+,Number of people,-,Displacement due to Conflict. Female Age Group 60+,Original Raw Value (Areal value aggregated by IDMC),2021 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Male_0-4,Conflict Displacements Male Age 0-4,Number of people,-,"Displacement due to Conflict. Male, Age Group 0-4",Original Raw Value (Areal value aggregated by IDMC),2022 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Male_5-11,Conflict Displacements Male Age 5-11,Number of people,-,"Displacement due to Conflict. Male, Age Group 5-11",Original Raw Value (Areal value aggregated by IDMC),2023 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Male_12-17,Conflict Displacements Male Age 12-17,Number of people,-,"Displacement due to Conflict. Male, Age Group 12-17",Original Raw Value (Areal value aggregated by IDMC),2024 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Male_18-59,Conflict Displacements Male Age 18-59,Number of people,-,"Displacement due to Conflict. Male, Age Group 18-59",Original Raw Value (Areal value aggregated by IDMC),2025 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Conflict_Male_60+,Conflict Displacements Male 60+,Number of people,-,"Displacement due to Conflict. Male, Age Group 60+",Original Raw Value (Areal value aggregated by IDMC),2026 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Both sexes_0-4,Disaster Displacements Both Sexes 0-4,Number of people,-,"Displacement due to Disaster. Male + Female, Age Group 0-4",Original Raw Value (Areal value aggregated by IDMC),2027 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Socio-demographic Indicators,GDL - Area Data - v44,age8089,Population Percentage Age 80-89,Percentage,-,Percentage of national population aged 80-89 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Both sexes_5-11,Disaster Displacements Both Sexes 5-11,Number of people,-,"Displacement due to Disaster. Male + Female, Age Group 5-11",Original Raw Value (Areal value aggregated by IDMC),2028 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Both sexes_12-17,Disaster Displacements Both Sexes 12-17,Number of people,-,"Displacement due to Disaster. Male + Female, Age Group 12-17",Original Raw Value (Areal value aggregated by IDMC),2029 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Both sexes_18-59,Disaster Displacements Both Sexes 18-59,Number of people,-,"Displacement due to Disaster. Male + Female, Age Group 18-59",Original Raw Value (Areal value aggregated by IDMC),2030 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Both sexes_60+,Disaster Displacements Both Sexes 60+,Number of people,-,"Displacement due to Disaster. Male + Female, Age Group 60+",Original Raw Value (Areal value aggregated by IDMC),2031 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Female_0-4,Disaster Displacements Female 0-4,Number of people,-,"Displacement due to Disaster. Female, Age Group 0-4",Original Raw Value (Areal value aggregated by IDMC),2032 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Female_5-11,Disaster Displacements Female 5-11,Number of people,-,Displacement due to Disaster. Female Age Group 5-11,Original Raw Value (Areal value aggregated by IDMC),2033 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Female_12-17,Disaster Displacements Female 12-17,Number of people,-,"Displacement due to Disaster. Female, Age Group 12-17",Original Raw Value (Areal value aggregated by IDMC),2034 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Female_18-59,Disaster Displacements Female 18-59,Number of people,-,Displacement due to Disaster. Female Age Group 18-59,Original Raw Value (Areal value aggregated by IDMC),2035 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Female_60+,Disaster Displacements Female 60+,Number of people,-,Displacement due to Disaster. Female Age Group 60+,Original Raw Value (Areal value aggregated by IDMC),2036 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Male_0-4,Disaster Displacements Male 0-4,Number of people,-,"Displacement due to Disaster. Male, Age Group 0-4",Original Raw Value (Areal value aggregated by IDMC),2037 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Male_5-11,Disaster Displacements Male 5-11,Number of people,-,"Displacement due to Disaster. Male, Age Group 5-11",Original Raw Value (Areal value aggregated by IDMC),2038 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Male_12-17,Disaster Displacements Male 12-17,Number of people,-,"Displacement due to Disaster. Male, Age Group 12-17",Original Raw Value (Areal value aggregated by IDMC),2039 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Male_18-59,Disaster Displacements Male 18-59,Number of people,-,"Displacement due to Disaster. Male, Age Group 18-59",Original Raw Value (Areal value aggregated by IDMC),2040 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Displacements,IDMC-GIDD - IDPs_SADD_estimates,Disaster_Male_60+,Disaster Displacements Male 60+,Number of people,-,"Displacement due to Disaster. Male, Age Group 60+",Original Raw Value (Areal value aggregated by IDMC),2041 to 2023,Yearly,Admin Level 0-1,geospatial_data_idmc,Internal Displacement Data.xlsx_3_IDPs_SADD_estimates
Environmental and Climate Factors,ERA5 hourly data on single levels from 1940 to present,2m_temperature,Daily Average Temperature of Air (2m),K,Average hourly into daily,"The avarage temperature of air at 2m above the surface of land, sea or inland waters. 2m temperature is calculated by interpolating between the lowest model level and the Earth''s surface, taking account of the atmospheric conditions. This parameter has units of kelvin (K). Temperature measured in kelvin can be converted to degrees Celsius (°C) by subtracting 273.15",Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_era5,ERA5
Environmental and Climate Factors,ERA5 hourly data on single levels from 1940 to present,evaporation,Daily Total Evaporation,m of water equivalent,Sum hourly into daily,"The accumulated amount of water that has evaporated from the Earth''s surface, including a simplified representation of transpiration (from vegetation), into vapour in the air above. This parameter is accumulated over a particular time period which depends on the data extracted. For the reanalysis, the accumulation period is over the 1 hour ending at the validity date and time. For the ensemble members, ensemble mean and ensemble spread, the accumulation period is over the 3 hours ending at the validity date and time. The ECMWF Integrated Forecasting System (IFS) convention is that downward fluxes are positive. Therefore, negative values indicate evaporation and positive values indicate condensation.",Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_era5,ERA5
Environmental and Climate Factors,ERA5 hourly data on single levels from 1940 to present,maximum_2m_temperature_since_previous_post_processing,Daily Maximun Temperature of Air (2m),K,Maximun of hourly to daily,"The maximum temperature of air at 2m above the surface of land, sea or inland waters. 2m temperature is calculated by interpolating between the lowest model level and the Earth''s surface, taking account of the atmospheric conditions. This parameter has units of kelvin (K). Temperature measured in kelvin can be converted to degrees Celsius (°C) by subtracting 273.15",Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_era5,ERA5
Socio-demographic Indicators,GDL - Area Data - v44,age90hi,Population Percentage Age 90+,Percentage,-,Percentage of national population aged 90+ in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Environmental and Climate Factors,ERA5 hourly data on single levels from 1940 to present,minimum_2m_temperature_since_previous_post_processing,Daily Minimun Temperature of Air (2m),K,Minimun of hourly to daily,"The minimum temperature of air at 2m above the surface of land, sea or inland waters. 2m temperature is calculated by interpolating between the lowest model level and the Earth''s surface, taking account of the atmospheric conditions. This parameter has units of kelvin (K). Temperature measured in kelvin can be converted to degrees Celsius (°C) by subtracting 273.15",Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_era5,ERA5
Environmental and Climate Factors,ERA5 hourly data on single levels from 1940 to present,surface_net_solar_radiation,Daily Total Surface Net Solar Radiation,joules per square metre (J/m²),Sum hourly into daily,"The amount of solar radiation (also known as shortwave radiation) that reaches a horizontal plane at the surface of the Earth (both direct and diffuse) minus the amount reflected by the Earth''s surface (which is governed by the albedo). Radiation from the Sun (solar, or shortwave, radiation) is partly reflected back to space by clouds and particles in the atmosphere (aerosols) and some of it is absorbed. The remainder is incident on the Earth''s surface, where some of it is reflected. This parameter is accumulated over a particular time period which depends on the data extracted. For the reanalysis, the accumulation period is over the 1 hour ending at the validity date and time. For the ensemble members, ensemble mean and ensemble spread, the accumulation period is over the 3 hours ending at the validity date and time. The units are joules per square metre (J m-2 ). To convert to watts per square metre (W m-2 ), the accumulated values should be divided by the accumulation period expressed in seconds. The ECMWF convention for vertical fluxes is positive downwards.",Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_era5,ERA5
Environmental and Climate Factors,ERA5 hourly data on single levels from 1940 to present,total_precipitation,Daily Total Precipitation,m,Sum hourly into daily,"The accumulated liquid and frozen water, comprising rain and snow, that falls to the Earth''s surface. It is the sum of large-scale precipitation and convective precipitation. Large-scale precipitation is generated by the cloud scheme in the ECMWF Integrated Forecasting System (IFS). The cloud scheme represents the formation and dissipation of clouds and large-scale precipitation due to changes in atmospheric quantities (such as pressure, temperature and moisture) predicted directly by the IFS at spatial scales of the grid box or larger. Convective precipitation is generated by the convection scheme in the IFS, which represents convection at spatial scales smaller than the grid box. This parameter does not include fog, dew or the precipitation that evaporates in the atmosphere before it lands at the surface of the Earth. This parameter is accumulated over a particular time period which depends on the data extracted. For the reanalysis, the accumulation period is over the 1 hour ending at the validity date and time. For the ensemble members, ensemble mean and ensemble spread, the accumulation period is over the 3 hours ending at the validity date and time. The units of this parameter are depth in metres of water equivalent. It is the depth the water would have if it were spread evenly over the grid box. Care should be taken when comparing model parameters with observations, because observations are often local to a particular point in space and time, rather than representing averages over a model grid box.",Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_era5,ERA5
Environmental and Climate Factors,NASA - MERRA2 - v5.12.4,BCSMASS,Daily Average Dust Surface Mass Concentration - PM 2.5,kg/m³,Average hourly into daily,Dust Surface Mass Concentration - PM 2.5,Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_merra2,MERRA2
Environmental and Climate Factors,NASA - MERRA2 - v5.12.4,DUSMASS25,Daily Average Organic Carbon Surface Mass Concentration,kg/m³,Average hourly into daily,Organic Carbon Surface Mass Concentration,Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_merra2,MERRA2
Environmental and Climate Factors,NASA - MERRA2 - v5.12.4,OCSMASS,Daily Average Black Carbon Surface Mass Concentration,kg/m³,Average hourly into daily,Black Carbon Surface Mass Concentration,Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_merra2,MERRA2
Environmental and Climate Factors,NASA - MCD43C4 - v6.1,NDVI,Normalized Difference Vegetation Index,-,"Calculate Normalized Difference Vegetation Index (NDVI) from Band 1 (Red) and Band 2 (Near Infrared - NIR)
NDVI = (NIR - Red) / (NIR + Red)",Normalized Difference Vegetation Index.,Avarage of area,"2010, 2019, 2020, 2022, 2024",Daily,Admin Level 0-1,geospatial_data_nvdi,NASA_MCD43C4
Environmental and Climate Factors,GFEDv5 - v0.1,Monthly Burnt Area (Total),Monthly Total Burnt Area,km²,-,"Total burned area, including: normal type burned area, cropland burned area, deforestation burned area, and peatland burned area",Avarage of area,"2010, 2019, 2020",Monthly,Admin Level 0-1,geospatial_data_gfed,GFED_Version_0.1_2023-02-23
Environmental and Climate Factors,GLEAM - v4.1a,SMrz,Root-zone Soil Moisture,m³/m³,-,Root-zone Soil Moisture (% of water of the soil volumne),Avarage of area,"2010, 2019, 2020, 2022",Daily,Admin Level 0-1,geospatial_data_gleam,GLEAM_v4.1a
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,0_no_data,Land Class - No Data,Percentage of the Land Class in that area,-,Land Cover Classification System. No Data.,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,100_mosaic_tree_and_shrub,Land Class - Mosaic Tree and Shrub,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. Mosaic tree and shrub (>50%) / herbaceous cover (<50%),Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,10_cropland_rainfed,Land Class - Rainfed Cropland,Percentage of the Land Class in that area,-,"Land Cover Classification System - A11 Cultivated Terrestrial Areas and Managed Lands. Cropland, rainfed",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Socio-demographic Indicators,GDL - Area Data - v44,agedifmar,Partners Avg Age Difference ,Age,-,Mean age difference between partners in region (age male household head minus age female partner of head),Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,110_mosaic_herbaceous,Land Class - Mosaic Herbaceous,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. Mosaic herbaceous cover (>50%) / tree and shrub (<50%),Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
